Item Name,Quantity
"ABRASIVE MATERIALS, UNUSED",16
"ABSORBENT MATERIAL,OIL AND WATER",2
"ABSORBENT PAD,FLUID,MEDICAL",360
ACCESSORIES BOX STORAGE,2
"ACCESSORY KIT,ANTENNA",11
"ACCESSORY KIT,GHILLIE SUIT",11
"ACCESSORY KIT,VEHICLE BODY",2
"ACCESSORY OUTFIT,GASOLINE FIELD RANGE",3
ACCESSORY RAIL ASSE,1
"ACCESSORY SET,PARACHUTE,SCUBA ADAPTING",2
ACCOUNTING AND CALCULATING MACHINES,5
ACOG KIT,52
ACOUSTIC SUPPR KIT,1
"ACTUATOR,ELECTRIC",2
"ACTUATOR,ELECTRO-MECHANICAL,LINEAR",4
"ACTUATOR,ELECTRO-MECHANICAL,ROTARY",2
"ADAP,AUDIO,KEYFILL",20
ADAPTER 8-32 THREAD,1
ADAPTER ANTENNA,10
"ADAPTER ASSEMBLY,DA",2
"ADAPTER ASSEMBLY,INTERFACE DEVICE",1
"ADAPTER ASSY,TORQUE",1
ADAPTER FLIP UP,24
"ADAPTER GROUP,RADIO",5
"ADAPTER KIT,BALANCI",2
"ADAPTER KIT,WHEEL LOAD HANDLING",2
"ADAPTER RAIL,WEAPON MOUNTED",1965
"ADAPTER RAIL,WEAPON MOUNTED,M4",1786
"ADAPTER RAIL,WEAPON MOUNTED,M5",1699
ADAPTER-COUPLING,2
"ADAPTER,AIRCRAFT HOISTING",2
"ADAPTER,ANTENNA TO ANTENNA BASE",22
"ADAPTER,ANTENNA TO TRANSMITTER",12
"ADAPTER,ANTIBACKLAS",4
"ADAPTER,BATTERY TERMINAL",38
"ADAPTER,CAMERA TO INDICATOR",8
"ADAPTER,CAP ASSEMBL",8
"ADAPTER,CONNECTOR",6
"ADAPTER,DRIVESHAFT",6
"ADAPTER,DRIVESHAFT,",3
"ADAPTER,ENGINE",2
"ADAPTER,FILL STATIO",6
"ADAPTER,GOGGLES,NIGHT VISION",214
"ADAPTER,HEADSET",437
"ADAPTER,HOLDING,MAI",1
"ADAPTER,INPUT SHAFT",18
"ADAPTER,K-BAR,MOLLE",138
"ADAPTER,LIFE RAFT,CABLE",1
"ADAPTER,MAST DRIVIN",5
"ADAPTER,OPTICAL BORESIGHT,83MM",1
"ADAPTER,PINTLE HOOK",1
"ADAPTER,PITOT TEST",1
"ADAPTER,POWER SUPPLY",7
"ADAPTER,QUICK CONNECT AND DISCONNECT",4
"ADAPTER,SOCKET WRENCH",8
"ADAPTER,SPLINED,TAI",2
"ADAPTER,TIE DOWN,AIRCRAFT FLOOR",22
"ADAPTER,VEHICLE MBITR",2
"ADAPTER,VEHICULAR",4
"ADAPTOR KIT,TOW BAR.",2
"ADAPTOR,AN-PVS4",7
"ADAPTOR,M4 MOUNTING",20
ADHESIVE,200
"ADHESIVE TAPE,SURGICAL",256
"ADHESIVE,MOLESKIN",1
"ADJUSTER ASSEMBLY,AIMING LIGHT",11
"ADJUSTER ASSEMBLY,ANTI-TORQUE CO NTROLS",4
"ADJUSTER,SLACK,TRACK",1
"ADJUSTING AND RELEASE TOOL,TORQUE WRENCH",1
"ADJUSTING TOOL,BRAKE SHOE",2
"ADJUSTING TOOL,COMB",8
"ADMINISTRATION SET,INFUSION PUMP",5
"ADMINISTRATION SET,INTRAVENOUS FLUIDS",9
"ADMINISTRATION SET,WINGED",1
ADP CABINET,17
ADP COMPONENTS,14
"ADP CPU, ANALOG",8
"ADP CPU, DIGITAL",538
"ADP CPU, DIGITAL, DEMIL REQ",20
ADP HANDHELD DEVICES,6
ADP INPUT/OUTPUT AND STORAGE DEVICES,81
ADP SUPPLIES,157
ADP SUPPORT EQUIPMENT,141
AEROSOL PAINT,36
AEROSOL PAINT FOR HM SALES,15
"AEROSOLS, FLAMMABLE (SOLVENTS AND PAINTS)",15
"AEROSOLS, REGULATED, NON-FLAM, TOXIC",5
AGRICULTURAL EQUIP,1
"AIMING LIGHT UNIT ASSEMBLY,INFRARED",50
"AIMING LIGHT,INFRAR",16
"AIR BLOWGUN,EXTENDE",2
AIR BOTTLE,23
"AIR CLEANER,INTAKE",3
AIR COMPRESSOR,5
AIR CONDITIONER,167
"AIR CONDITIONER,3 TON",8
Air Conditioning Equipment,10
AIR CONDITIONING FILTERS,660
AIR CYLINDER ASSY,8
AIR DATA BOX ASSEMB,1
"AIR FILTER,BRAKE LI",6
AIR PURIFICATION EQUIPMENT,5
Aircraft Maintenance and Repair Shop Specialized Equipment,3
AIRCRAFT TIME COMPLIANCE TECHNICAL ORDER,1
"AIRCRAFT, FIXED WING",14
"AIRCRAFT, ROTARY WING",13
AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,1
"AIRFRAME COMPONENTS, DEMIL B",3
AIRFRAME STRUCTURAL COMPONENTS,2
"AIRPLANE,CARGO-TRANSPORT",29
"AIRPLANE,FLIGHT T42A",1
"AIRPLANE,UTILITY U8F",1
"AIRWAY KIT,PERCUTANEOUS,EMERGENCY",2
"AIRWAY KIT,SUPRAGLOTTIC",2
"AIRWAY,NASOPHARYNGEAL",232
"ALARM SET,PERSONNEL HAZARD",6
"ALARM SET,PILOT WARNING",1
"ALARM UNIT,CHEMICAL AGENT AUTOMATIC ALARM",1
ALARM-MONITOR,5
"ALARM,AUDIBLE",7
"ALARM,AUDIBLE-VISUAL",30
"ALARM,BACK-UP,VEHICLE",1
"ALARM,GAS,AUTOMATIC",1
"ALARM,SMOKE,AUTOMATIC",100
"ALIGNMENT TOOL,GUN",1
"ALL IN ONE PRINTER, FAX, SCANNER",46
ALL TERRAIN VEHICLE WHEELED,125
"ALL TERRAIN VEHICLE, 4 WHEEL",180
"ALL TERRAIN VEHICLE, AG/BVUS",32
ALL-MODE CONTAINER DELIVERY SYSTEM,4
"ALTERNATOR,PERMANEN",2
"ALTIMETER-BAROMETER,ANEROID",3
"ALTIMETER,ENCODER",10
"ALTIMETER,PRESSURE",8
AMMETER,2
AMMUNITION AND NUCLEAR ORDNANCE BOXES,2
AMMUNITION BOX,31
"AMMUNITION RACK,VEHICLE",1
AMMUNITION TRAY-BOX,1
AMPLIFIER-POWER SUPPLY,4
"AMPLIFIER,AUDIO FREQUENCY",14
"AMPLIFIER,ELECTRONIC CONTROL",3
"AMPLIFIER,GUITAR",7
"AMPLIFIER,RADIO FREQUENCY",35
"AMPLIFIER,SYNCHRO SIGNAL",1
"AMPLIFIER,UHF",1
"AMPLIFIER,VIDEO",1
AMPLIFIERS,15
AN PRC 150 RADIO,7
"ANALYZER KIT,GAS CHIP MEASUREMENT SYSTEM",15
"ANALYZER SET,ENGINE",19
"ANALYZER-CHARGER,BATTERY",18
"ANALYZER, MEDICAL",3
"ANALYZER,BLOOD GAS",3
"ANALYZER,BLOOD GLUCOSE",4
"ANALYZER,BLOOD WITH CASE",1
"ANALYZER,CHEMICAL",3
"ANALYZER,CONTROL BO",1
