Station Name (LEA),State,Records
ALASKA DEPT OF PUBLIC SAFETY,AK,164
FAIRBANKS POLICE DEPT,AK,8
JUNEAU POLICE DEPT,AK,15
KETCHIKAN POLICE DEPT,AK,4
KODIAK POLICE DEPT,AK,5
NORTH POLE POLICE DEPT,AK,1
"NPS, DENALI NATIONAL PARK LAW ENF",AK,9
PALMER POLICE DEPT,AK,4
US DOJ ATF ANCHORAGE,AK,8
US DOJ DEA ANCHORAGE,AK,9
US DOJ FBI ANCHORAGE,AK,2
US MARSHAL SERVICE ALASKA,AK,6
ADAMSVILLE POLICE DEPT,AL,27
AL DEPT OF CONSERV RES MARINE DIV,AL,3
AL DEPT OF CONSERVATION MONTG,AL,184
AL DEPT OF CORRECTIONS,AL,5
AL DEPT OF PUBLIC SAFETY,AL,88
AL DEPT OF PUBLIC SAFETY HWY PATROL,AL,3
AL IRONWORKS TANNEHILL RANGERS,AL,14
AL STATE PARKS DIV,AL,90
AL UNIV OF MONTEVALLO POLICE  HI_ED,AL,2
ALABAMA AM UNIV POLICE DEPT HI_ED,AL,7
ALABASTER POLICE DEPT,AL,41
ALBERTVILLE POLICE DEPT,AL,52
ALEXANDER CITY POLICE DEPT,AL,11
ALTOONA POLICE DEPT,AL,6
ANDALUSIA POLICE DEPT,AL,43
ANNISTON POLICE DEPT,AL,28
APOSTC LAW ENFORCEMENT ACADEMY,AL,20
ARAB POLICE DEPT,AL,65
ARGO POLICE DEPT,AL,9
ASHVILLE POLICE DEPT,AL,14
ATF REDSTONE ARSENAL,AL,2
ATHENS POLICE DEPT,AL,41
ATTALLA POLICE DEPT,AL,22
AUBURN POLICE DEPT,AL,19
AUTAUGA COUNTY SHERIFF DEPT,AL,7
BARBOUR COUNTY SHERIFF DEPT,AL,8
BAY MINETTE POLICE DEPT,AL,4
BAYOU LA BATRE POLICE DEPT,AL,11
BERRY POLICE DEPT,AL,2
BESSEMER POLICE DEPT,AL,55
BIBB COUNTY SHERIFF DEPT,AL,14
BIRMINGHAM POLICE DEPT,AL,76
BLOUNT COUNTY SHERIFF DEPT,AL,12
BLOUNTSVILLE POLICE DEPT,AL,5
BOAZ POLICE DEPT,AL,16
